attribute_id,project,risk,rationale
htan2:DataCollectionMode,HTAN2,Low,"Describes instrument acquisition mode (DDA vs DIA) for tandem MS assays — technical assay metadata without personal identifiers, demographic or sensitive clinical information. No re-identification risk evident."
htan:DataCollectionMode,HTAN,Low,"This is technical instrument metadata describing mass spectrometry acquisition mode (DDA vs DIA). It does not contain identifying, demographic, or sensitive personal information and is non-personal study metadata."
nf-osi:DataCollectionMode,NF-OSI,Low,"This describes a technical instrument setting (tandem MS acquisition mode: DDA or DIA). It conveys no personal, demographic, location, or sensitive clinical information and is non-identifying technical metadata."
adkp:DataSubtype,ADKP,Low,"Describes a technical classification of the data (processing state, aggregation level, presence of metadata) rather than information about individuals. It is non-personal study/technical metadata and does not itself reveal identifiers or quasi-identifiers."
el:DataSubtype,EL,Low,"Describes technical classification of the dataset (processing state, aggregation level, presence of metadata) rather than any person-level or cohort identifiers. This is non-personal technical metadata, so sensitivity is Low."
nf-osi:DataSubtype,NF-OSI,Low,"Describes processing/aggregation state or presence of metadata about the data rather than any person-level identifiers or quasi-identifiers. This is technical dataset metadata (data processing/aggregation status), so it is non-personal and low sensitivity."
adkp:DataType,ADKP,Low,"Describes types of input/output data in bioinformatics pipelines (technical data/file-type metadata). This is non-personal technical metadata and does not include direct identifiers, quasi-identifiers, or sensitive clinical/behavioral information."
el:DataTypeAll,EL,NeedsReview,"Description is listed as TBD and there are no validation rules or valid values provided, so the scope and content are unclear; insufficient information to determine sensitivity."
el:DatabaseName,EL,Low,"Describes the technical choice of reference/search database (e.g., nr, SwissProt, est_human, mass spectral library). This is non-personal technical metadata about analysis configuration and does not reveal individual identity or sensitive information."
el:DatabaseSource,EL,Low,"Names of public databases or organizations (e.g., UniProt, NCBI, EBI) are non-personal technical/source metadata and do not directly identify individuals or sensitive attributes; therefore classified as Low risk."
el:DatabaseVersion,EL,Low,This describes a technical metadata field (database version) with no personal or identifying information. It does not reveal identities or sensitive clinical/financial data and therefore is low risk.
mc2:DatasetViewKey,MC2,Moderate,"This is a unique foreign-key identifier that links metadata entries across collections. It is not a direct personal identifier but functions as a quasi‑identifier enabling record linkage and cross‑dataset correlation that could aid re‑identification, so it should be treated as moderately sensitive."
nf-osi:Diagnosis,NF-OSI,High,"This attribute records an individual’s clinical diagnosis (specific health condition), which is highly sensitive personal health information. Diagnosis data can reveal medical conditions and thus poses a high re-identification/privacy risk."
el:DigestionMethod,EL,Low,"Describes a laboratory sample preparation technique (e.g., in-solution, in-gel). This is non-personal technical metadata about experimental methods and does not reveal identity, contact, location, or sensitive clinical/behavioral information."
el:DigestionReagent,EL,Low,"Describes technical laboratory information (enzymes/reagents used for digestion). This is non-personal experimental metadata and does not identify individuals or provide quasi-identifiers, so it is low sensitivity."
gf:Dilution,GF,NeedsReview,"Description is listed as 'TBD' and there are no validation rules or valid values provided, so the scope and sensitivity of the attribute are unclear and require further information to assess risk."
gf:DimensionOrder,GF,Low,"Describes technical file/data layout (order of interleaved planes). This is non-personal technical metadata about data storage/format, not an identifier or sensitive attribute."
htan2:DimensionOrder,HTAN2,Low,"Technical metadata describing the order in which data planes are interleaved (file/image storage detail). Does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial information."
htan:DimensionOrder,HTAN,Low,"Describes technical image data organization (the order planes are interleaved). This is non-identifying technical metadata about file structure/instrument settings and does not reveal personal, clinical, or cohort information."
el:DirectionalBSseqLibrary,EL,Low,"Indicates a technical library preparation property (whether bisulfite-seq library is directional). This is non-personal technical metadata about sequencing protocol and does not reveal identity, contact, location, or sensitive clinical information."
gf:DissociationMethod,GF,Low,Describes a technical tissue-processing method for scRNA-seq/scATAC-seq assays. This is non-personal technical metadata about laboratory procedures and does not identify individuals or provide quasi-identifiers.
htan2:DissociationMethod,HTAN2,Low,"This is an experimental protocol detail (tissue dissociation method for scRNA-seq/scATAC-seq), which is non-personal technical metadata and does not directly identify individuals or provide sensitive personal information."
htan:DissociationMethod,HTAN,Low,"This describes a laboratory experimental protocol (tissue dissociation method) for scRNA-seq/scATAC-seq — technical metadata about sample processing. It does not contain personal identifiers, demographics, or quasi-identifiers and thus poses low re-identification/privacy risk."
nf-osi:DissociationMethod,NF-OSI,Low,"Describes a laboratory procedure/protocol for dissociating specimens into cells. This is technical methodological metadata (non-personal) and does not contain identifiers, quasi-identifiers, or sensitive clinical/behavioral information."
el:DnaBatchSize,EL,Low,This is an aggregate/technical metric (number of samples per DNA batch). It contains no direct identifiers or quasi-identifiers tied to individuals and is study logistics/technical metadata rather than personal data.
el:DnaBatchSizeUnit,EL,Low,Describes a technical/logistical property (unit for counting samples in a batch). Does not contain personal identifiers or quasi-identifiers and poses low re-identification/privacy risk.
htan2:DuplicateRead-Pairs,HTAN2,Low,"This is a technical sequencing QC metric (count of duplicate read-pairs). It does not contain personal identifiers, demographics, or variant-level data and is non-identifying technical metadata, so risk is Low."
htan:DuplicateRead-Pairs,HTAN,Low,"This is a technical sequencing QC metric (count of duplicate read-pairs). It does not directly or indirectly identify individuals or reveal sensitive clinical, demographic, or location information, so it is non-personal technical metadata."
htan2:DuplicateRemovalSoftware,HTAN2,Low,"This describes a technical processing detail (software used to remove duplicate reads). It contains no personal identifiers, quasi-identifiers, or sensitive clinical/financial data—purely non-personal technical metadata."
htan:DuplicateRemovalSoftware,HTAN,Low,"This describes the software used to remove duplicate sequencing reads — a technical processing detail about analysis tools. It contains no personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information, so it is non-personal technical metadata."
htan2:EMbeamcurrent,HTAN2,Low,Beam current (nA) is a non-personal instrument/technical parameter. It does not contain personally identifying information or quasi-identifiers and therefore poses low re-identification risk.
htan:EMbeamcurrent,HTAN,Low,Beam current (nA) is an instrument/technical parameter for electron microscopy and does not contain personal identifiers or quasi-identifiers; therefore it is non-personal technical metadata.
htan2:EMcontrasttype,HTAN2,Low,"Specifies imaging modality/contrast (SEM vs TEM) for electron microscopy images — non-personal technical metadata about instrument/technique, not identifying or sensitive."
htan:EMcontrasttype,HTAN,Low,Specifies a technical imaging parameter (SEM vs TEM contrast) describing microscope image contrast type. This is non-personal instrument/technical metadata and does not identify individuals or contribute to re-identification.
htan2:EMdwellorexposuretime,HTAN2,Low,Instrument technical parameter describing electron beam dwell/exposure time per pixel/frame (microseconds). This is non-personal technical metadata about data acquisition settings and does not reveal individual identities or sensitive attributes.
htan:EMdwellorexposuretime,HTAN,Low,"This is a technical instrument acquisition parameter (duration/exposure time per pixel/frame in µs) for electron microscopy. It contains no personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information and therefore is non-personal technical metadata."
htan2:EMinstrument,HTAN2,Low,"Make and model of the electron microscope is non-personal technical/instrument metadata about equipment. It does not directly identify individuals, convey contact/financial/clinical data, or meaningfully enable re‑identification."
htan:EMinstrument,HTAN,Low,"Make and model of the EM instrument is technical equipment metadata (non-personal) used for methods/reproducibility. It does not directly identify individuals, reveal contact/location/clinical/financial data, or meaningfully aid re-identification."
htan2:EMmethod,HTAN2,Low,"Describes the electron microscopy method used — technical experimental metadata about instrumentation/protocols, not personal or identifiable information and not a quasi-identifier, so it is low sensitivity."
htan:EMmethod,HTAN,Low,"Describes the electron microscopy method used — a technical, non-personal attribute about imaging methodology/instrumentation. Does not contain identifiers, demographic, or sensitive clinical information, so risk is Low."
htan2:EMsignalorcontrastmech,HTAN2,Low,"Describes a technical imaging parameter (how the EM signal/contrast is generated) about sample preparation/instrumentation. It contains no personal identifiers, demographic, or cohort information and is non-personal technical metadata."
htan:EMsignalorcontrastmech,HTAN,Low,"Describes technical imaging/contrast mechanism for electron microscopy — non-personal technical metadata about instrumentation/processing. Does not contain identifiers, demographics, or sensitive clinical/contextual information, so classified as Low risk."
htan2:EMsignalprocessing,HTAN2,Low,"Describes technical signal-processing methods (SNR improvement strategies) used; does not contain personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information—technical metadata only."
htan:EMsignalprocessing,HTAN,Low,"Describes technical signal-processing/SNR improvement strategies (non-personal instrument/data-processing metadata). Contains no direct identifiers, quasi-identifiers, or sensitive clinical/financial information, so classification is Low risk."
htan2:EMspotsize,HTAN2,Low,"Beam spot size in micrometers is a technical instrument parameter (EM imaging setting). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/behavioral data and is non-personal technical metadata."
htan:EMspotsize,HTAN,Low,"Beam spot size (µm) is a technical instrument parameter for EM imaging. It does not convey personal identifiers, demographic or clinical information, or specimen/cohort identifiers—thus it is non-personal technical metadata and low sensitivity."
htan2:EMstagetilt,HTAN2,Low,"This is a technical instrument parameter (physical stage tilt in degrees relative to the electron beam). It contains no personal, identifying, or sensitive information and is standard non-personal microscopy metadata."
htan:EMstagetilt,HTAN,Low,"Stage tilt in degrees is an instrument technical parameter (microscope setting). It is non-personal technical metadata and does not reveal identity, sensitive clinical, or cohort information."
htan2:EMvoltage,HTAN2,Low,Accelerating voltage (keV) is an instrument setting/technical parameter for electron microscopy. It is non-personal technical metadata and does not directly identify individuals or sensitive attributes.
htan:EMvoltage,HTAN,Low,Accelerating voltage (keV) is a technical instrument setting for electron microscopy; it does not identify individuals or provide quasi-identifiers and is non-personal technical metadata.
gf:EmissionBandwidth,GF,NeedsReview,Description is 'TBD' and no validation rules or valid values are provided; insufficient information to determine whether this is non‑personal technical metadata or a sensitive identifier. Further detail required.
gf:EmissionWavelength,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values provided. Scope and context of 'EmissionWavelength' (e.g., instrument technical setting vs. location-linked sensor data) are unclear, so insufficient information to assess sensitivity."
btc:Encoding,BTC,Low,"Technical file-format metadata describing ASCII encoding of quality scores (e.g., Phred+33/+64). Non-personal instrument/file property with negligible re-identification or sensitive information risk."
htan2:Encoding,HTAN2,Low,"Describes the ASCII encoding scheme for quality values in sequencing files (e.g., Phred+33/64). This is technical file-level metadata unrelated to personal identity or sensitive attributes, so it is low sensitivity."
htan:Encoding,HTAN,Low,"Describes a file-level technical property (ASCII encoding used for quality score values, e.g., Phred offsets). This is non-personal technical metadata and does not reveal identity, location, or sensitive attributes."
gf:EndBias,GF,Low,Describes a technical property of the sequencing/library protocol (which end of cDNA is preferentially sequenced). This is non-personal technical metadata about assay design/instrumentation and does not reveal identity or sensitive information.
htan2:EndBias,HTAN2,Low,"Describes technical sequencing/library property (3'/5' tag or full-length transcript) rather than any personal, demographic, or cohort information; non-identifying experimental metadata."
htan:EndBias,HTAN,Low,"Describes technical sequencing/library property (which cDNA end is preferentially sequenced: 3'/5'/full-length). This is non-personal technical metadata and does not reveal identity, contact, location, or sensitive clinical/behavioral information."
el:Enrichment,EL,Low,"Describes experimental protocol or reagent (e.g., Fe3+NTA-Agarose) — technical, non-personal metadata about lab methods/instrumentation. Does not identify individuals or sensitive attributes."
el:EnrichmentMethod,EL,Low,"Describes a laboratory enrichment method (restriction enzyme digest) — technical experimental metadata with no personal identifiers or quasi-identifiers. No sensitive clinical, contact, or location data present."
el:EnrichmentStrategy,EL,Low,"Describes a laboratory/sample processing parameter (type of peptide or protein enrichment). This is technical experimental metadata, not a personal identifier or quasi-identifier, so it poses low re-identification risk."
gf:ExcitationBandwidth,GF,NeedsReview,"Description is listed as 'TBD' and there are no validation rules or valid values provided. Scope and content are unclear, so sensitivity cannot be determined and the attribute requires review."
gf:ExcitationWavelength,GF,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided, so scope and sensitivity are unclear; needs review to determine if it is technical (Low) or contains identifying/sensitive information."
htan2:ExperimentIFChannels,HTAN2,Low,"This is technical experimental metadata listing immunofluorescence channels/marker names (e.g., PanCK, CD45, CD3, DAPI). It does not identify individuals or contain sensitive clinical/financial/location data, so it is non-personal technical metadata."
htan:ExperimentIFChannels,HTAN,Low,"Lists immunofluorescence imaging channels (e.g., PanCK, CD45, CD3, DAPI) — technical experimental metadata about assay configuration. Does not contain personal identifiers, demographics, or sensitive clinical information."
el:ExperimentType,EL,Low,"Describes the technical/assay type of the experiment (methodological metadata) and does not convey personal identifiers, demographic or longitudinal information. Therefore it is non-personal technical metadata."
el:ExperimentalBatchSize,EL,NeedsReview,"Description is TBD and there are no validation rules or valid values provided. Insufficient information to determine whether this is non-identifying technical metadata (Low), a quasi-identifier (Moderate), or contains sensitive information (High). Further detail required."
el:ExperimentalBatchSizeUnit,EL,Low,"Describes the unit of measurement for batch sample counts (a technical study/materials metadata field). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial data, so it is non-personal technical metadata (Low)."
el:ExperimentalFactor,EL,Low,"Describes experiment design variables (ontology terms from EFO/OBI) and study-level experimental factors rather than individual or cohort identifiers. Contains no personal, contact, location, financial or sensitive clinical data and functions as non-personal technical/study metadata."
nf-osi:ExpressionUnit,NF-OSI,Low,"Describes the measurement unit for transcript expression quantification (e.g., TPM, FPKM, counts) — technical metadata about assay output. Contains no personal identifiers or quasi-identifiers and does not convey sensitive information."
htan2:ExpressionUnits,HTAN2,Low,"Describes technical normalization/quantification units (e.g., TPM/RPKM) for gene expression — methodological metadata about data processing. It does not contain identifiers or sensitive personal/clinical information and poses low re‑identification risk."
htan:ExpressionUnits,HTAN,Low,"Describes a technical detail about gene expression quantification (how counts are corrected for gene length, e.g., TPM/RPKM) and contains no personal identifiers or quasi-identifiers; therefore non-personal technical metadata."
el:ExtractionMethod,EL,Low,"This is technical protocol metadata describing the laboratory process used to separate components (extraction method). It contains no personal identifiers, quasi-identifiers, or sensitive content and thus is non-personal technical metadata."
gf:FOVX,GF,Low,"Field of view X dimension is technical imaging metadata (floating-point) describing instrument settings/measurement geometry. It does not identify individuals or sensitive attributes, so it is non-personal technical metadata with low sensitivity."
htan2:FOVX,HTAN2,Low,"Field of view X dimension is an imaging acquisition parameter (floating-point technical metadata). It does not directly or indirectly identify individuals, contain contact/location/clinical data, or serve as a quasi-identifier—classified as non-personal technical metadata (Low)."
htan:FOVX,HTAN,Low,"Field of view X dimension is a technical image acquisition parameter (floating-point) describing instrument/scan geometry. It does not identify individuals nor provide sensitive demographic or clinical information, so it is non-personal technical metadata."
gf:FOVXUnit,GF,Low,Specifies a measurement unit (microns/µm) for a field-of-view dimension. This is non-personal technical metadata (unit of measure) and does not identify individuals or sensitive context.
htan2:FOVXUnit,HTAN2,Low,"Specifies the units for the field-of-view X dimension (e.g., microns) — technical imaging metadata about measurement units. Non-personal and does not reveal identity or sensitive information."
htan:FOVXUnit,HTAN,Low,"Unit of measurement for the field-of-view X dimension (e.g., microns). This is non-personal technical imaging metadata (measurement units) and does not reveal identity or sensitive information."
gf:FOVY,GF,Low,"Field of view Y dimension is a technical imaging acquisition parameter (floating-point) with no personal identifiers, quasi-identifiers, contact, location, or sensitive clinical information — non-personal technical metadata."
htan2:FOVY,HTAN2,Low,Field of view Y dimension is a technical imaging parameter (floating-point) describing image acquisition geometry. It does not contain personal identifiers or quasi-identifiers and is non-sensitive technical metadata.
htan:FOVY,HTAN,Low,"Field of view Y dimension is technical imaging metadata (floating-point numeric) describing image size. It contains no direct identifiers or quasi-identifiers and does not reveal sensitive personal, health, or location information, so it is Low risk."
gf:FOVYUnit,GF,Low,"This attribute specifies a unit of measurement ('microns (um)') for a field-of-view dimension. It is technical metadata with no personal identifiers, quasi-identifiers, or sensitive information."
htan2:FOVYUnit,HTAN2,Low,"This is technical imaging metadata specifying the units for the field-of-view Y dimension (e.g., microns). It contains no personal identifiers, location, cohort, specimen ID, or sensitive clinical information—therefore non-personal and low sensitivity."
htan:FOVYUnit,HTAN,Low,"This is technical imaging metadata describing measurement units (e.g., microns) for the field-of-view Y dimension. It contains no personal identifiers or quasi-identifiers and is non-personal instrument/measurement metadata."
gf:FOVnumber,GF,Low,This is a technical/image metadata field indicating the sequence index of a field-of-view (integer >=1). It does not contain personal identifiers or quasi-identifiers and cannot reasonably be used to re-identify an individual.
htan2:FOVnumber,HTAN2,Low,"Integer index indicating sequence order of a field-of-view (FOV). This is non-personal technical metadata (ordering within an image/study) and does not convey identifying, demographic, location, financial, or sensitive clinical information."
htan:FOVnumber,HTAN,Low,An integer sequence index for field-of-view (FOV) order; this is non-personal technical metadata (file/measurement ordering) and does not directly identify individuals or sensitive attributes.
el:FamilyStudyParticipant,EL,Moderate,Indicates cohort membership (participant in a family study). This is a quasi-identifier/cohort identifier that does not directly identify an individual but could aid re-identification or linkage to other datasets; therefore classified as Moderate.
htan2:FeatureBarcodeLibraryType,HTAN2,Low,"Describes a technical laboratory method (library construction method for a feature barcode library). This is non-personal technical metadata about experimental protocol rather than any identifier, cohort, or sensitive clinical/behavioral information, so it poses low re-identification/privacy risk."
htan:FeatureBarcodeLibraryType,HTAN,Low,"Describes a technical laboratory protocol (library construction method) for feature barcode libraries. This is non-personal technical metadata (protocol/assay details), not an identifier or sensitive clinical/demographic attribute, so classified as Low risk."
htan2:FeatureReferenceId,HTAN2,Low,"This is a dataset-internal unique identifier for a measured feature (e.g., gene or antibody probe). It contains no personal information or quasi-identifiers and is technical metadata used to reference features, so it poses low privacy risk."
mc2:FileDescription,MC2,NeedsReview,"Description is unspecified free-text ""Description of the file."" with no valid values or clear validation rules provided. Could be non-personal technical metadata but might also contain PII/ sensitive content depending on use — insufficient information to classify definitively."
mc2:FileDesign,MC2,Low,"Describes the overall design/structure of the dataset or file (technical metadata). This is non-personal, study-level information that does not contain direct identifiers or quasi-identifiers and thus represents low re-identification risk."
adkp:FileFormat,ADKP,Low,"FileFormat describes the technical format/extension or software group of the data file — non-personal technical metadata about files, not identifying or sensitive."
amp-aim:FileFormat,AMP-AIM,Low,"Describes a technical file format name or extension (e.g., CSV, FASTQ). This is non-personal technical metadata and does not reveal identity, sensitive attributes, or re-identifying information."
el:FileFormat,EL,Low,FileFormat describes technical file type/extension or tool output group — non-personal technical metadata that does not identify individuals or provide quasi-identifiers and therefore poses low re-identification/privacy risk.
gf:FileFormat,GF,Low,"File format is non-personal technical metadata (e.g., txt, csv, fastq, bam). It does not identify individuals or provide quasi-identifiers and contains no sensitive content or context."
htan2:FileFormat,HTAN2,Low,"File format is non-personal technical metadata (e.g., txt, csv, fastq, bam). It does not contain identifiers or quasi-identifiers and poses minimal re-identification or sensitivity risk."
htan:FileFormat,HTAN,Low,"FileFormat describes a technical property (file type like txt, csv, fastq, bam). This is non-personal technical metadata and does not directly identify individuals or provide sensitive clinical/biometric/longitudinal information."
mc2:FileFormat,MC2,Low,"This describes the technical file format (e.g., FASTQ, BAM, PDF) — non-personal technical metadata with no identifiers or quasi-identifiers and minimal privacy risk."
nf-osi:FileFormat,NF-OSI,Low,"Describes technical file format/extension or group produced by software — non-personal technical metadata. Does not reveal identity, contact, location, or sensitive information and thus poses low re-identification risk."
mc2:FileLevel,MC2,Low,"Describes the processing level/state of a file (e.g., raw/processed) which is technical metadata about files rather than personal, location, or cohort information; not an identifier or quasi-identifier."
mc2:FileLongitudinalGroup,MC2,Moderate,"A group label linking files from the same longitudinal/time-resolved experiment functions as a quasi-identifier: it allows linking records across time for the same subject or cohort and could aid re-identification, but is not a direct identifier or sensitive content, so Moderate."
mc2:FileLongitudinalSequenceIdentifier,MC2,Moderate,"This is a longitudinal sequence/visit order (integer 1,2,...) which is a quasi-identifier — a temporal marker that can aid re-identification when combined with other metadata or records, so it should be treated as moderately sensitive."
mc2:FileLongitudinalSequentialTimeElapsed,MC2,Moderate,"This is a temporal interval between sequential files in a longitudinal group. Temporal/longitudinal markers can act as quasi-identifiers that may aid re-identification when combined with other metadata, so it is classified as Moderate."
mc2:FileLongitudinalTimeElapsedUnit,MC2,Low,"Specifies the unit of time (e.g., seconds/minutes) for elapsed time fields—technical metadata about measurement units rather than any personal, demographic, or identifiable information; low re-identification risk."
mc2:FileLongitudinalTotalTimeElapsed,MC2,Moderate,"This is a longitudinal timing marker (total time between first and current files). Temporal offsets are quasi-identifiers that, when combined with other data, can facilitate re-identification or link records across datasets, so it should be treated as Moderate risk."
mc2:FileTumorType,MC2,High,"Contains clinical diagnosis information (tumor type), which is sensitive health data. Disclosure of tumor type reveals an individual’s medical condition and can be highly identifying when combined with other data, so it should be classified as High risk."
el:Filename,EL,NeedsReview,"Description is listed as TBD and there are no validation rules or valid values. It is unclear whether filenames may contain direct identifiers, dates, or other sensitive data, so insufficient information is available to classify risk."
gf:Filename,GF,NeedsReview,Description is 'TBD' with no validation rules or examples. Filenames can range from non-identifying technical labels to containing direct identifiers or sensitive info; scope is unclear so classification requires further review.
nf-osi:Filename,NF-OSI,Moderate,"A filename can contain quasi-identifiers or direct identifiers (e.g., participant IDs, names, dates) and thus may aid re-identification. No validation or constraints are specified to ensure removal of identifying information."
btc:Flow,BTC,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided, so scope and sensitivity are unclear; cannot determine whether this is an identifier, quasi-identifier, or non-personal metadata without further information."
htan:FlowCellBarcode,HTAN,Low,Flow cell barcode is a technical instrument/run identifier (sequencing flow cell). It does not contain personal identifiers or sensitive clinical information and poses low re-identification risk; classified as non-personal technical metadata.
gf:Fluorophore,GF,NeedsReview,"Description is 'TBD' and there are no validation_rules or valid_values. Scope and context are unclear (could be non-identifying technical metadata or could encode sensitive/identifying information), so insufficient information to classify sensitivity."
el:FractionIdentifier,EL,Low,This is a technical experimental parameter (number of fractions in a run). It does not contain personal identifiers or quasi-identifiers and is non-sensitive laboratory metadata; placeholder values only indicate missing/not applicable information.
btc:FragmentMaximumLength,BTC,Low,"This is a technical sequencing/library metric (maximum fragment length as measured by Bioanalyzer). It contains no personal identifiers or quasi-identifiers and pertains to assay properties, so it is non-personal technical metadata."
htan2:FragmentMaximumLength,HTAN2,Low,This is technical sequencing metadata (maximum fragment length as measured by Bioanalyzer). It contains no personal identifiers or quasi-identifiers and is non-sensitive instrument/assay information.
htan:FragmentMaximumLength,HTAN,Low,This is a technical laboratory measurement (maximum sequenced fragment length) with no direct or indirect personal identifiers; it is instrument-derived technical metadata and poses low re-identification/privacy risk.
btc:FragmentMeanLength,BTC,Low,"Technical sequencing QC metric (mean fragment length from Bioanalyzer). Non-identifying laboratory/instrument measurement and does not reveal personal identity, contact, location, financial, or sensitive clinical data."
htan2:FragmentMeanLength,HTAN2,Low,"This is a non-identifying technical measurement (mean fragment length from sequencing/instrument like Bioanalyzer). It does not reveal personal identity, contact, location, financial, or sensitive clinical information and is standard technical metadata."
htan:FragmentMeanLength,HTAN,Low,"A numeric technical sequencing metric (mean fragment length from Bioanalyzer). It is non-personal instrument/assay metadata and does not reveal identity, contact, precise location, or sensitive clinical information, so poses low re-identification risk."
btc:FragmentMinimumLength,BTC,Low,"This is a technical sequencing metric (minimum fragment length) from instrument output (e.g., Bioanalyzer). It contains no personal identifiers or quasi-identifiers and does not reveal sensitive clinical, contact, or location information."
htan2:FragmentMinimumLength,HTAN2,Low,This is a technical sequencing metric (minimum fragment length measured by instrument) with no personal identifiers or demographic/cohort information. It is non-personal technical metadata and poses low re-identification risk.
htan:FragmentMinimumLength,HTAN,Low,"This is technical sequencing metadata (minimum fragment length measured/predicted by instrument) and does not reveal personal identity, contact, precise location, or sensitive clinical information. It is non-personal technical metadata and poses low re-identification risk."
btc:FragmentStandardDeviationLength,BTC,Low,"This is a technical measurement (standard deviation of sequenced fragment lengths from an instrument like a Bioanalyzer). It does not directly or indirectly identify individuals and is non-personal technical metadata, so sensitivity is low."
htan2:FragmentStandardDeviationLength,HTAN2,Low,"This is a technical measurement describing the variability of sequenced fragment lengths (e.g., Bioanalyzer output). It is non-personal instrument/library QC metadata and does not directly identify individuals or serve as a quasi-identifier."
htan:FragmentStandardDeviationLength,HTAN,Low,"Numeric technical QC metric (standard deviation of sequenced fragment lengths, e.g., from Agilent Bioanalyzer). Describes instrument/library properties and does not directly identify individuals or provide quasi-identifying clinical/demographic information."
gf:FrameAveraging,GF,Low,"This is a technical imaging parameter specifying the number of frames averaged (integer >=1). It contains no personal identifiers, demographic, or sensitive clinical information and is typical non-personal instrument/processing metadata."
htan2:FrameAveraging,HTAN2,Low,"FrameAveraging is an imaging instrument/processing parameter (number of frames averaged). It is non-personal technical metadata that does not reveal identity, contact, location, or sensitive clinical information."
htan:FrameAveraging,HTAN,Low,"This is a technical imaging acquisition parameter (number of frames averaged, integer >=1). It is non-personal technical metadata and does not reveal identity, contact, location, or sensitive clinical information, so privacy risk is low."
el:GDNAconc,EL,Moderate,"gDNA Concentration is biospecimen-level data (quantitative genomic DNA metric). It is not a direct identifier but is sample-specific metadata that could aid re-identification or sensitive analyses when combined with other data, so classify as Moderate."
htan2:GENCODEGeneSymbolTarget,HTAN2,Low,"This describes the gene symbols targeted by an antibody (technical reagent metadata). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial data, so it is non-personal technical metadata."
htan:GENCODEGeneSymbolTarget,HTAN,Low,"Describes gene symbols targeted by an antibody — non-personal technical/reagent metadata. Does not contain direct identifiers, quasi-identifiers, or individual health/financial/contact data, so low re-identification risk."
el:GasFlowTemperature,EL,Low,"Instrument/technical metadata (nebulization/cone gas temperature, units C/F/K). Does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial data—purely technical parameter."
el:GasFlowTemperatureUnit,EL,Low,"This is non-personal technical metadata describing the unit of a measurement (e.g., °C/°F). It does not identify individuals, provide quasi-identifiers, or contain sensitive clinical/financial data."
nf-osi:GenePerturbationType,NF-OSI,Low,"Describes an experimental manipulation (e.g., knockout/knockdown/overexpression) of a gene in a sample. This is technical experimental metadata and does not directly identify individuals or reveal sensitive personal/clinical information."
nf-osi:GenePerturbed,NF-OSI,Low,"The attribute is a HUGO gene symbol specifying which gene was perturbed in an experiment; it is technical experimental metadata and does not contain personal identifiers, contact, location, or cohort/participant information."
gf:GenomeAnnotationURL,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values provided, so scope and sensitivity are unclear; cannot determine whether this URL could contain identifiable or sensitive data and therefore requires review."
htan2:GenomeAnnotationURL,HTAN2,Low,"This is a link to a public genome annotation (GTF) file (reference resource URL). It contains no personal or cohort-identifying information and is technical/reference metadata, so it poses low privacy risk."
htan:GenomeAnnotationURL,HTAN,Low,"This is a link to a public reference genome annotation file (GTF) — technical, non-personal metadata referencing external public resources; does not contain personal identifiers or sensitive information."
gf:GenomicReference,GF,NeedsReview,"Description is TBD and there are no validation rules or valid values provided, so scope and sensitivity are unclear. Could refer to a genomic sequence (potentially sensitive) or a non-identifying reference; further detail is required to classify."
htan2:GenomicReference,HTAN2,Low,"This is technical metadata specifying the genome assembly version used for alignment (e.g., GCF_000001405.39). It contains no personal identifiers or quasi-identifiers and does not materially aid re-identification; it is relevant for reproducibility only."
htan:GenomicReference,HTAN,Low,"This is technical metadata specifying the genome assembly/version used for read alignment (e.g., GCF_000001405.39). It does not identify individuals or convey sensitive clinical, contact, location, or financial information."
nf-osi:GenomicReference,NF-OSI,Low,"This is technical processing metadata (genome reference version used for alignment). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/behavioral information, so it is low sensitivity."
gf:GenomicReferenceURL,GF,NeedsReview,"Description is 'TBD' and there are no validation rules or allowed values. Without knowing whether this field contains public reference genome links (low sensitivity) or links to internal/identifiable resources (moderate/high), sensitivity cannot be determined and requires review."
htan2:GenomicReferenceURL,HTAN2,Low,"This is a technical metadata field containing a URL to a public human genome reference sequence (e.g., Gencode/GRCh38). It does not identify individuals or contain sensitive personal data, so it is low sensitivity."
htan:GenomicReferenceURL,HTAN,Low,"URL linking to a public human genome reference file (e.g., Gencode/GRCh38). This is non-personal technical/reference metadata (no direct or quasi-identifiers, contact, location, or sensitive clinical information)."
el:GenotypeTechnology,EL,Low,"Describes technical methods used for genotyping (e.g., array, sequencing). This is non-personal technical metadata about experimental methodology, not an identifier or quasi-identifier, and does not reveal individual-sensitive information."
